time,close,high,low,open,volumefrom,volumeto
1396656000,462.38,485.06,439.37,444.36,8704.36,4022793.01
1396915200,384.63,480.69,384.63,462.38,11435.3,5196021.34
1397174400,427.6,469.83,355.71,384.63,15323.73,6611900.92
1397433600,536.95,549.05,420.08,427.6,23683.04,11684781.31
1397692800,506.02,537.03,472,536.95,24738.43,12365332.2
1397952000,487.91,524.67,483.39,506.02,20717.8,10392458.07
1398211200,464.49,509.96,438.33,487.91,15417.66,7416059.84
1398470400,441.92,468.68,420.78,464.49,18397.62,8317417.12
1398729600,460.13,464.49,430.71,441.92,12004.16,5417657.83
1398988800,436.05,463.38,428.79,460.13,9327.68,4146181.21
1399248000,446.55,458.78,420.23,436.05,12258.11,5347739.31
1399507200,451.9,459.46,438.5,446.55,5256.94,2358281.49
1399766400,433.92,455.4,429.02,451.9,5929.35,2619550.57
1400025600,453.63,455.15,433.88,433.92,6127.93,2766948.71
1400284800,443.9,455.94,441.2,453.63,4505.3,2033045.89
1400544000,515.36,519.25,437.25,443.9,6418.41,3161539.02
1400803200,570.44,575.19,510.42,515.36,7494.86,3987888.37
1401062400,570.84,586.41,555.28,570.44,9881.55,5714993.49
1401321600,627.91,629.04,557.7,570.84,14350.14,8548462.33
1401580800,669.43,676.47,621.95,627.91,12046.67,7856754.59
1401840000,650.41,669.78,602.1,669.43,14394.71,9405528.35
1402099200,644.35,659.77,639.08,650.41,8540.63,5592596.27
1402358400,597.13,663.04,591.12,644.35,11945.86,7760944.14
1402617600,582.29,619.14,560.85,597.13,16487.73,9869937.58
1402876800,606.21,614.4,580.45,582.29,10302.82,6261719.43
1403136000,597.04,612.58,584.82,606.21,10038.16,6119862.51
1403395200,588.77,610.08,582.86,597.04,7767.05,4676314.32
1403654400,602.23,603.94,565.85,588.77,10627.25,6213781.03
1403913600,635.14,637.28,593.19,602.23,9663.97,5909786.53
1404172800,638.03,652.54,604.58,635.14,12900.79,8356096.4
1404432000,626.65,642.22,619.69,638.03,9549.92,6024820.03
